#Created by Handy SDK v2
0,64
294,92
588,100
961,100
1260,97
1680,42
1806,41
2142,78
2646,93
2982,75
3360,29
3654,43
4326,98
4830,97
5208,77
5628,89
5754,88
6006,64
6216,34
6468,53
6930,95
7728,47
7896,50
8526,96
8736,89
9240,26
9408,35
9636,63
9912,94
9996,93
10668,18
11109,2
11214,2
11382,7
11550,32
11844,55
12036,66
12768,89
12875,94
13163,97
13440,100
13680,93
13957,88
14240,82
14495,77
14673,90
14855,99
15025,80
15162,60
15427,88
15652,94
15906,81
16128,60
16443,87
16729,95
17038,77
17360,55
17641,82
17936,96
18144,86
18491,57
18900,96
19068,100
19320,87
19656,79
19908,78
20202,43
20496,75
20790,100
20958,98
21294,62
21504,33
22092,100
22302,94
22806,24
22890,29
23646,95
24192,100
24990,82
25284,79
25410,87
25704,96
25872,98
26040,90
26250,100
26460,83
26754,53
27342,97
27762,100
28266,94
28476,59
28644,55
29226,96
29568,100
29862,98
30408,93
30637,79
30998,48
31533,81
32064,99
32107,100
32149,100
32592,99
32775,92
33060,72
33239,80
33416,93
33627,78
33852,81
34184,97
34246,99
34328,100
34478,87
34633,80
34779,94
34937,98
35641,52
36344,2
36742,57
37139,100
37598,48
38061,0
38405,42
38760,100
39130,37
39507,0
39853,49
40204,100
40517,41
40840,0
41198,47
41561,100
41887,44
42229,14
42534,48
42858,100
43178,44
43519,0
43817,51
44111,100
44440,36
44750,3
45073,42
45392,100
45717,34
46049,4
46297,27
46704,79
47040,27
47374,0
47704,43
48042,95
48398,38
48762,0
49182,77
49449,99
49492,99
49536,99
49579,99
49649,100
49719,99
50652,74
51227,0
51625,83
52004,100
52721,65
53428,14
53799,52
54169,75
54560,38
54948,9
55217,53
55468,75
55749,40
56038,12
56147,22
56156,25
56354,71
56577,98
56899,52
57211,4
57461,57
57723,99
58034,53
58358,14
58596,70
58820,97
59104,45
59379,11
59610,66
59853,94
60103,46
60352,10
60613,62
60869,88
61121,44
61380,14
61635,71
61890,98
62158,49
62413,15
62645,70
62883,98
63137,47
63396,13
63618,69
63845,100
64114,47
64378,10
64610,59
64852,89
65114,33
65367,0
65600,59
65822,95
66053,42
66357,5
66616,46
66882,68
67161,33
67444,7
67700,45
67965,66
68260,29
68547,7
68882,62
69211,88
70221,57
71229,6
71344,7
71460,8
71508,7
71562,7
71639,9
71709,9
71756,10
71806,10
71857,10
71930,9
71999,9
72046,9
72361,5
72678,0
73435,56
74193,94
74244,95
74338,97
74434,98
74486,97
74538,98
74612,99
74682,100
75382,69
75978,35
76614,52
77264,63
77552,39
77862,21
77918,25
77974,25
78051,20
78123,19
78572,51
79018,82
79067,82
79115,81
79689,47
80253,11
80543,52
80852,80
81118,38
81389,13
81645,53
81889,74
82241,27
82595,0
82691,2
82787,2
82861,2
82942,3
83125,7
83299,9
83351,11
83426,12
83498,12
83547,13
83596,13
83650,13
83705,13
83805,9
83901,7
84302,59
84711,100
84762,100
84813,100
84863,100
84912,100
85665,59
86222,7
86554,59
86892,100
86942,100
86990,100
87039,100
87505,53
87956,6
88260,52
88564,80
88915,53
89272,9
89548,52
89840,77
90123,35
90422,5
90679,44
90930,64
91271,24
91594,2
91644,1
91717,0
91792,1
91851,2
91915,2
91975,2
92053,3
92128,3
92227,2
92326,1
92375,1
92424,1
92474,1
92524,1
92575,1
92658,2
92738,2
92791,1
92845,2
92944,3
93043,3
93093,4
93166,4
93240,4
93350,3
93459,2
93508,2
93558,2
93606,2
93656,2
93705,2
93759,2
93814,1
93893,1
93967,1
94021,1
94076,1
95463,38
95475,39
95918,70
96397,95
96446,96
96621,98
96795,99
97523,57
98240,1
98688,74
99132,99
99761,51
100378,1
100854,52
101325,77
101538,65
101742,57
101894,72
102054,82
102322,64
102580,47
102738,80
102905,94
103093,98
103345,98
103476,100
103975,100
104282,96
104563,90
104647,78
104857,32
105237,73
105583,97
105634,97
105746,99
105868,99
106282,91
106704,37
107098,82
107495,99
107917,93
108259,72
108427,74
108679,91
108763,84
109015,64
109309,30
109435,0
109939,100
110287,100
110453,99
111142,91
111745,0
112103,66
112375,100
112548,76
112714,72
112902,81
113089,84
113405,34
113711,0
113987,54
114181,90
114727,0
114853,11
115027,63
115320,91
115571,34
115806,0
116095,57
116400,100
116656,52
116921,20
117184,69
117415,92
117679,38
117929,0
118171,40
118436,89
118737,39
119038,4
119119,6
119207,7
119347,4
119479,4
119613,7
119745,5
119883,2
120039,3
120208,17
120364,19
120525,9
120686,6
120922,23
121141,36
121363,13
121599,3
121826,25
121993,39
122262,10
122469,1
122667,24
122833,42
123086,14
123283,0
123523,21
123768,40
123966,16
124157,4
124381,37
124615,59
124812,23
125011,2
125623,37
125908,0
126122,40
126343,68
126579,26
126781,1
127046,50
127257,70
127469,29
127697,0
127919,50
128130,83
128352,32
128545,0
128878,53
129176,92
129404,24
129620,0
129846,53
130081,92
130348,28
130615,1
130846,57
131071,86
131345,28
131630,0
131748,7
131864,9
131996,6
132367,17
132556,59
